Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Sales,Profit
ORD00001,2025-05-21,Customer_014,Monitor,Electronics,North,1,246.73,39.61
ORD00002,2025-01-17,Customer_065,Webcam,Electronics,North,7,570.75,109.74
ORD00003,2025-11-29,Customer_058,Tablet,Electronics,East,4,1747.65,221.71
ORD00004,2025-12-24,Customer_028,Laptop,Electronics,East,3,2510.53,374.92
ORD00005,2025-07-14,Customer_078,Monitor,Electronics,East,2,478.06,95.02
ORD00006,2025-10-02,Customer_011,Laptop,Electronics,East,8,6289.76,1133.86
ORD00007,2025-10-23,Customer_085,Webcam,Electronics,South,6,506.77,92.68
ORD00008,2025-04-30,Customer_059,Headphones,Accessories,East,2,160.99,31.04
ORD00009,2025-07-01,Customer_088,Keyboard,Accessories,North,6,310.83,63.6
ORD00010,2025-10-01,Customer_049,Webcam,Electronics,East,3,282.37,53.31
ORD00011,2025-12-17,Customer_008,Tablet,Electronics,South,4,1620.96,227.69
ORD00012,2025-07-25,Customer_073,Laptop,Electronics,East,6,4863.1,710.63
ORD00013,2025-07-22,Customer_019,Mouse,Accessories,East,8,258.46,64.69
ORD00014,2025-10-15,Customer_055,Keyboard,Accessories,West,4,221.72,52.39
ORD00015,2025-03-12,Customer_007,Printer,Office,North,4,841.6,103.36
ORD00016,2025-12-15,Customer_049,Keyboard,Accessories,West,3,162.43,31.06
ORD00017,2025-10-11,Customer_093,Tablet,Electronics,North,5,2251.53,249.8
ORD00018,2025-11-25,Customer_021,Tablet,Electronics,West,5,2032.87,247.9
ORD00019,2025-09-14,Customer_014,Laptop,Electronics,East,5,4472.67,717.28
ORD00020,2025-03-20,Customer_100,Tablet,Electronics,North,4,1637.64,191.28
ORD00021,2025-09-08,Customer_040,Webcam,Electronics,South,6,488.1,115.7
ORD00022,2025-10-18,Customer_063,Laptop,Electronics,North,4,3703.93,518.96
ORD00023,2025-03-07,Customer_022,Tablet,Electronics,East,3,1300.26,191.69
ORD00024,2025-04-19,Customer_089,Tablet,Electronics,South,7,3192.2,446.77
ORD00025,2025-12-10,Customer_067,Headphones,Accessories,West,7,540.74,106.14
ORD00026,2025-04-26,Customer_071,Monitor,Electronics,South,4,949.32,146.32
ORD00027,2025-01-04,Customer_030,Webcam,Electronics,North,4,329.11,71.83
ORD00028,2025-02-06,Customer_063,Laptop,Electronics,South,6,5114.44,763.93
ORD00029,2025-10-20,Customer_061,Tablet,Electronics,West,3,1279.21,153.48
ORD00030,2025-02-19,Customer_053,Mouse,Accessories,West,2,61.91,14.21
ORD00031,2025-02-01,Customer_014,Laptop,Electronics,South,2,1666.89,253.84
ORD00032,2025-10-02,Customer_036,Mouse,Accessories,West,4,118.77,27.84
ORD00033,2025-08-15,Customer_013,Mouse,Accessories,North,2,63.7,16.92
ORD00034,2025-02-17,Customer_022,Tablet,Electronics,West,1,455.81,65.45
ORD00035,2025-04-20,Customer_022,Desk,Furniture,West,8,2746.7,461.75
ORD00036,2025-05-16,Customer_037,Laptop,Electronics,West,7,6457.56,1121.59
ORD00037,2025-03-21,Customer_008,Tablet,Electronics,North,8,3151.61,375.01
ORD00038,2025-01-26,Customer_068,Printer,Office,South,1,213.54,29.92
ORD00039,2025-04-06,Customer_031,Laptop,Electronics,West,2,1553.3,216.32
ORD00040,2025-10-24,Customer_054,Monitor,Electronics,East,4,1059.66,197.57
ORD00041,2025-12-09,Customer_051,Headphones,Accessories,South,4,312.97,57.69
ORD00042,2025-06-11,Customer_002,Headphones,Accessories,West,8,651.48,147.33
ORD00043,2025-02-07,Customer_017,Webcam,Electronics,East,2,181.35,38.15
ORD00044,2025-07-09,Customer_070,Monitor,Electronics,East,4,995.28,175.83
ORD00045,2025-12-08,Customer_085,Webcam,Electronics,North,1,95.71,18.89
ORD00046,2025-03-01,Customer_020,Keyboard,Accessories,East,5,296.43,69.96
ORD00047,2025-06-25,Customer_034,Headphones,Accessories,West,4,282.22,58.72
ORD00048,2025-02-17,Customer_006,Headphones,Accessories,North,1,77.01,16.92
ORD00049,2025-11-23,Customer_057,Printer,Office,West,3,690.45,86.85
ORD00050,2025-02-27,Customer_020,Tablet,Electronics,North,1,384.32,55.7
ORD00051,2025-08-09,Customer_006,Printer,Office,East,3,583.06,76.93
ORD00052,2025-12-08,Customer_053,Mouse,Accessories,South,4,110.47,28.74
ORD00053,2025-04-01,Customer_095,Mouse,Accessories,East,3,96.87,19.93
ORD00054,2025-05-17,Customer_049,Desk Chair,Furniture,North,4,670.92,120.94
ORD00055,2025-04-13,Customer_040,Desk,Furniture,South,4,1361.05,201.73
ORD00056,2025-12-04,Customer_009,Mouse,Accessories,East,1,28.16,6.41
ORD00057,2025-12-14,Customer_004,Printer,Office,North,7,1611.46,228.06
ORD00058,2025-10-25,Customer_014,Headphones,Accessories,West,3,245.81,45.7
ORD00059,2025-08-12,Customer_050,Printer,Office,South,6,1286.76,180.76
ORD00060,2025-12-29,Customer_069,Headphones,Accessories,South,1,74.04,14.9
ORD00061,2025-02-05,Customer_080,Printer,Office,East,7,1601.97,252.59
ORD00062,2025-09-17,Customer_052,Monitor,Electronics,East,5,1250.41,218.89
ORD00063,2025-04-09,Customer_087,Tablet,Electronics,South,3,1239.95,182.49
ORD00064,2025-07-27,Customer_037,Webcam,Electronics,South,5,454.31,81.11
ORD00065,2025-08-27,Customer_066,Desk Chair,Furniture,West,6,1067.43,191.02
ORD00066,2025-05-26,Customer_043,Keyboard,Accessories,North,2,110.34,25.24
ORD00067,2025-04-26,Customer_006,Mouse,Accessories,South,5,159.2,34.17
ORD00068,2025-08-22,Customer_025,Desk,Furniture,West,2,629.05,98.03
ORD00069,2025-05-05,Customer_097,Desk,Furniture,North,7,2082.11,329.9
ORD00070,2025-04-01,Customer_060,Desk Chair,Furniture,North,4,763.79,137.48
ORD00071,2025-03-04,Customer_086,Tablet,Electronics,East,4,1665.37,236.07
ORD00072,2025-10-08,Customer_061,Desk,Furniture,West,7,2215.77,298.38
ORD00073,2025-11-23,Customer_063,Headphones,Accessories,South,4,286.64,62.1
ORD00074,2025-02-09,Customer_043,Headphones,Accessories,East,8,625.63,115.16
ORD00075,2025-03-12,Customer_020,Tablet,Electronics,South,2,781.34,98.01
ORD00076,2025-07-28,Customer_008,Monitor,Electronics,South,7,1758.44,313.28
ORD00077,2025-10-27,Customer_098,Desk Chair,Furniture,West,7,1372.41,199.68
